,index,Episode,Speaker,Internal,NumWords,Lines
0,0,1,Jeremy,True,29,"God, I'm nervous, I haven't seen Mark for six months. Hope he's not too horrible. Maybe he'll have forgotten I tried to steal his girlfriend? I pretty much have."
1,1,1,Jeremy,True,10,"Here we go. Mr. Big, the ex-provider of my cheddar."
2,2,1,Jeremy,False,5,Mark. Good to see you.
3,3,1,Jeremy,False,1,So.
4,4,1,Jeremy,True,9,Going to relax this shit out with a lean.
5,5,1,Jeremy,False,4,"Yeah, so how's yous?"
6,6,1,Jeremy,False,6,"Right, that's good that you're happy."
7,7,1,Jeremy,False,2,"Yeah, right."
8,8,1,Jeremy,True,5,The Elephant Man never forgets.
9,9,1,Jeremy,True,15,"Oh, my God, he's cleaned up for the wedding. Iggy's gone to rehab, sober Hans."
10,10,1,Jeremy,True,15,"This stag is one load of PG-rated, Disney-assed, Which? Magazine approved, childproof, high-vitamin fucking bullshit."
11,11,1,Jeremy,False,10,"Yeah, after you've had three or four really big juices..."
12,12,1,Jeremy,False,6,I would think it'd degenerate soon.
13,13,1,Jeremy,True,14,"Oh, pissing pure Innocent smoothie, there's no way we can talk more about juice."
14,14,1,Jeremy,False,3,One little siparoo?
15,15,1,Jeremy,True,11,"That's right, get that big, old whistle really nice and wet."
16,16,1,Jeremy,False,2,Probably never.
17,17,1,Jeremy,False,12,What are your actual chances of making a living as an artist?
18,18,1,Jeremy,False,4,"Exactly, not very high."
19,19,1,Jeremy,False,5,"All in good time, Hans."
20,20,1,Jeremy,False,28,"Look, I'm a life coach, so when I say ""sometimes you have to kill a dream to follow a dream"", that's advice backed by a professional standards body."
21,21,1,Jeremy,True,10,"Mm, I've said body, she'll be thinking about my body."
22,22,1,Jeremy,False,4,I knew it would.
23,23,1,Jeremy,False,4,"She's not here, Hans."
24,24,1,Jeremy,False,11,"Everyone does. But they're indestructible, so we are stuck with them."
25,25,1,Jeremy,False,3,"Yep, oh yep."
26,26,1,Jeremy,False,9,"Come on through. It's a great space, extremely versatile."
27,27,1,Jeremy,False,25,"The humidity is actually great for my chest. I mean, it's not number one Hyde Park Palace, but it suits me down to the ground."
28,28,1,Jeremy,False,8,I think of it as a sunken bed.
29,29,1,Jeremy,False,37,"Don't even need to leave the tub. Drink from the tap, and when I need to, just push the bag down, bang, the bog's right there. Just kneel and piss directly down the plughole. It's my system."
30,30,1,Jeremy,False,10,And you haven't even seen the kitchen. I love it.
31,31,1,Jeremy,False,21,"Oh, right, yeah, no problem, wicked. Will it be a longy or a shorty? No worries, you decide. Take your time."
32,32,1,Jeremy,False,9,"That is the one small downside, but it's cool."
33,33,1,Jeremy,True,11,"There he goes, my other half, my better half, 'er indoors."
34,34,1,Jeremy,False,13,"Mark, we need to talk, there's something I need to say to you."
35,35,1,Jeremy,False,4,But maybe not here.
36,36,1,Jeremy,True,37,"""Sorry Mark"", ""I'm sorry."" So simple, and yet it feels like if I say it, I might actually die. OK, no need for an apology now, I'm back in. We'll just pick up where we left off."
37,37,1,Jeremy,False,1,Jerry?
38,38,1,Jeremy,False,2,The bank?
39,39,1,Jeremy,False,1,Johnson?
40,40,1,Jeremy,True,12,"The El Dude Brothers trump the Rebound Brothers, you total fucking arsehole."
41,41,1,Jeremy,False,6,Ha ha ha ha ha ha.
42,42,1,Jeremy,False,5,"He's using my mug, Mark."
43,43,1,Jeremy,True,8,"I don't know why, but I hate Jerry."
44,44,1,Jeremy,False,4,"Hey, that's my duvet!"
45,45,1,Jeremy,True,6,"I'm out, Jerry's in, apology redundant."
46,46,1,Jeremy,False,6,Pretty sure that is my duvet.
47,47,1,Jeremy,False,2,That's it.
48,48,1,Jeremy,False,11,No. I'll give you a twatting at Operation if you like.
49,49,1,Jeremy,False,38,"Look, Mark, I know what you're getting at, but the fact is, that day with Dobby I had a... a medical brain attack. I've got a note from the doctor, somewhere. If I could find the bloody thing."
50,50,1,Jeremy,True,11,"Fine, I'll go, but before I do, I'm reclaiming the Falklands."
51,51,1,Jeremy,False,6,"Taking my duvet, if that's cool."
52,52,1,Jeremy,False,4,"Fuck Jerry, it's mine."
53,53,1,Jeremy,True,37,"Another night in the bath. I really don't think you could call my life a failure. Look at that, I've got a sleeping bag and a duvet. If this was the olden days, I'd be a billionaire."
54,54,1,Jeremy,False,7,"Oh man, so you're in the shit."
55,55,1,Jeremy,False,30,"The coke? Yes, yes, it's mine. I brought some coke to the stag, and er, even though Hans asked me not to, and er, but he refused to have any."
56,56,1,Jeremy,False,6,Because he took it off me.
57,57,1,Jeremy,False,12,"Uh, yeah, yeah, I'm a spiker, it's just one of my things."
58,58,1,Jeremy,False,8,"I guess I'm just a terrible, terrible shithead."
59,59,1,Jeremy,False,21,"Can't I stay one more night? After everything I've done for you? Not just in the past, but like really recently."
60,60,1,Jeremy,False,1,Mark?
61,61,1,Jeremy,False,32,"I felt a bit bad about the other night, so I got you a biscuit. I mean, they call them cookies, but I know you prefer me to call it a biscuit."
62,62,1,Jeremy,False,3,Is that good?
63,63,1,Jeremy,False,3,"Three grand, free?"
64,64,1,Jeremy,False,10,But I get it without having to give you anything?
65,65,1,Jeremy,False,6,"So basically, it is free, really."
66,66,1,Jeremy,False,3,That sounds good.
67,67,1,Jeremy,False,6,"Ooh, I've got a credit rating."
68,68,1,Jeremy,False,37,"Great. And now I'm all signed up, could we have a chat about living arrangements? Yeah, I've moved out of Hans'. So yeah, I'm considering something really exciting, a night in one of the Royal Parks. Unless..."
69,69,1,Jeremy,False,16,"No, great, good. I'll be fine in the park till the loan comes through. Anyway, thanks."
70,70,1,Jeremy,False,8,"Oh, hello, Mark. Got time for a chat?"
71,71,1,Jeremy,True,15,"Look out, Mark, my brain's got something in it, and you don't know what something."
72,72,1,Jeremy,False,22,"Yes, so, Mark, did you know that every time you play Candy Crush on your phone you sent out a Facebook invitation?"
73,73,1,Jeremy,False,17,I don't think you know your settings very well. You're pumping out invites every time you play.
74,74,1,Jeremy,False,4,That happens a lot.
75,75,1,Jeremy,False,21,"Mm, it just tends to happen to people who have just sent pictures of their cock on Twitter. They're all hacked."
76,76,1,Jeremy,False,74,"Look, the problem for you is I'm your friend. I know you, Mark. I know you like to pretend that you're this stuffed shirt who reads incredibly boring books about dead people killing each other with bayonets and typhoid, but I know the truth. I've watched Grand Designs with you. That smile when some eco-glass gets delayed on its way from Antwerp and the nice couple gets pushed over budget. That's the real you."
77,77,1,Jeremy,False,26,"You're this pathetic human who likes Twirls and Downton and Bond and burgers, so don't come the big guy with me, because it won't fucking wash."
78,78,1,Jeremy,False,2,After you.
79,79,1,Jeremy,False,9,"Yeah, well, I haven't got Mr. Nice with me."
80,80,1,Jeremy,False,40,"There's a hell of a lot to it. And when I read it I'm usually extremely high, which makes it better, but also means that I've forgotten most of it, which is actually great because then it never gets boring."
81,81,1,Jeremy,True,13,"Come on, nerd, raise the drawbridge. King Jeremy's coming back to his castle."
82,82,1,Jeremy,False,5,Lovely and warm in here.
83,83,1,Jeremy,False,9,"I take it you're a twenty-three degree guy, Terry."
84,84,1,Jeremy,False,1,Whatever.
85,85,1,Jeremy,False,11,"Mm, must be awkward for Mark. He's a real twenty-one degree-er."
86,86,1,Jeremy,False,18,"Twenty-three versus twenty-one, it's like Israel versus Palestine, isn't it? The endless beef. There's really no possible compromise."
87,87,1,Jeremy,False,9,"Twenty-two, yeah good, that's good. Both one degree uncomfortable."
88,88,1,Jeremy,False,34,"Jerry said he doesn't want coffee. He said he'd make his own later. He said, like he was joking, that your coffee tastes like horse piss. But I don't think he was really joking."
89,89,1,Jeremy,False,5,And then he hit me.
90,90,1,Jeremy,False,18,"Look, Mark, you need to face facts. Jerry's a wanker. Kick him out and kick me back in."
91,91,1,Jeremy,False,2,Why not?
92,92,1,Jeremy,False,5,Is this the Dobby thing?
93,93,1,Jeremy,False,3,But is it?
94,94,1,Jeremy,False,3,I knew it!
95,95,1,Jeremy,False,8,"So, what do you want me to do?"
96,96,1,Jeremy,False,11,"Fine! Obviously, I think we're both very sorry about what happened."
97,97,1,Jeremy,False,5,"I'm really, really sorry, Mark."
98,98,1,Jeremy,False,2,I'm sorry.
99,99,1,Jeremy,False,12,"All right, fine. I admit I shouldn't have come on your picnic."
100,100,1,Jeremy,False,6,"What? Look, I'm sorry, all right?"
101,101,1,Jeremy,False,21,"And if you like, I'll lay it on with a trowel and tell you how I like you, I value you..."
102,102,1,Jeremy,False,2,And even-
103,103,1,Jeremy,False,3,"Well, thank you."
104,104,1,Jeremy,False,7,"Well, maybe I can help with that."
105,105,1,Jeremy,False,32,"Yeah, listen, I'm afraid I have an announcement to make. I've discovered that in order to keep himself interested with all this garbage he pretends to like, Jerry drugs his head off."
106,106,1,Jeremy,False,14,I saw you put something in your pocket. I didn't like what I saw.
107,107,1,Jeremy,False,11,"Coke, Mark. Jerry is a cokehead who loves to take coke."
108,108,1,Jeremy,False,11,"I took it out, which is a very, very different thing."
