,index,Episode,Speaker,Internal,NumWords,Lines
0,0,1,Jeremy,True,26,"This is fucking wicked. I am almost definitely a musical genius. Maybe a tattoo on my chest, but of my face. Yeah, double me! Feel it!"
1,1,1,Jeremy,False,2,Hey man.
2,2,1,Jeremy,False,21,"I'm telling you, now I know whatshisname felt when he finished the Mona Lisa - knackered. So how was your day?"
3,3,1,Jeremy,False,8,"Well, Toni came round to drop this off."
4,4,1,Jeremy,False,35,"No, she was going to Starbucks to read a book. It's one of her things. Besides, the move, it's not a whole Sophie uptight situation. We're just gradually sliding into a... a fuck buddy scenario."
5,5,1,Jeremy,False,61,"Yeah, a buddy, you can fuck. I mean we're both so relaxed about the whole sex thing. Last time I was around there I watched a porno. Four in the afternoon - just me and her watching a porno. I mean, that's me. I'm not ready for the kind of thing you're after. The whole... someone to go to Waitrose with."
6,6,1,Jeremy,True,14,I wish I was her fuck buddy next door. We could do it through the wall.
7,7,1,Jeremy,False,4,How thick is wall?
8,8,1,Jeremy,True,31,"This Grammy goes out to my homeboys in Compton, the Japanese people who mean so much to me. Hey, Mark's playing my track. Ah, he just can't get enough of that shit."
9,9,1,Jeremy,False,3,What's going on?
10,10,1,Jeremy,False,1,Toni?
11,11,1,Jeremy,False,5,Yes that's right. I'm up.
12,12,1,Jeremy,False,1,Yeah
13,13,1,Jeremy,False,1,Yeah
14,14,1,Jeremy,False,16,Sure. It was Dr Ying Fu Yip... Wang Shong Pang... Fang Wang Dang Dong Ning Po Ku.
15,15,1,Jeremy,False,2,Super Hans!
16,16,1,Jeremy,False,5,No logo on the foam?
17,17,1,Jeremy,False,12,"No, I've been thinking, I'm not sure. I think maybe it's shit."
18,18,1,Jeremy,False,8,It's just I found Mark laughing at it.
19,19,1,Jeremy,False,9,"Plus, he was doing it in front of Toni."
20,20,1,Jeremy,False,2,You think?
21,21,1,Jeremy,False,11,Do you think that's why we haven't got a deal yet?
22,22,1,Jeremy,False,1,Yeah?
23,23,1,Jeremy,False,1,Right.
24,24,1,Jeremy,False,8,What's the matter? I thought you liked pork.
25,25,1,Jeremy,False,6,It means omertà. It means rewengay.
26,26,1,Jeremy,False,23,"Don't think I can't see you Mark, trying to get a slice of my action because Sophie the office girl won't put out."
27,27,1,Jeremy,False,18,"Well let's have some more truth shall we? Yeah, yeah? Cause the truth is, you're a posh spaz!"
28,28,1,Jeremy,False,16,In the way you're always doing posh spazzy things like tidying up and ironing your socks.
29,29,1,Jeremy,False,3,"Socks, shirts, whatever!"
30,30,1,Jeremy,False,11,"Oh, I get it. Are you going to do me in?"
31,31,1,Jeremy,False,16,Are you going to punch me Mark? Is that it? Is that what's going to happen?
32,32,1,Jeremy,False,34,"You're an animal, Corrigan. You have to keep your tie done up to eleven otherwise all this grey, ugly, office envy sludge will just spill out and drown you! And you've got weird nuts!"
33,33,1,Jeremy,False,19,"If you're going to watch the TV in your dressing gown, you might want to put some pants on."
34,34,1,Jeremy,False,2,Me too.
35,35,1,Jeremy,False,7,Me too. That's exactly how I feel.
36,36,1,Jeremy,False,7,"So, Toni's friends. Who, what, why, where?"
37,37,1,Jeremy,False,1,Wicked.
38,38,1,Jeremy,True,16,"If I laugh at everything she says, I'm bound to at least get a suck job."
39,39,1,Jeremy,False,8,I know but it looks just like a fried egg.
40,40,1,Jeremy,False,2,"Right, nightmare."
41,41,1,Jeremy,True,45,"Jesus, how did I get trapped with her? She's definitely the most boring person here. I mean they look great, they're probably talking about how they're going to make a real life porn movie with a proper story and everything. I could do the music."
42,42,1,Jeremy,False,8,So where do you live in the building?
43,43,1,Jeremy,False,7,"Oh, OK, and what do you do?"
44,44,1,Jeremy,False,9,You do? Well that's amazing! That's just really amazing!
45,45,1,Jeremy,True,11,"Heh-heh, yeah this is it. Paula's gonna love this. Very Iggy."
46,46,1,Jeremy,False,8,"Oh well, could I do mine again then?"
47,47,1,Jeremy,False,15,"Don't even go there, it is literally impossible. Turns out I was just someone's secretary!"
48,48,1,Jeremy,False,8,"Yeah, right whatever. We're just popping next door."
49,49,1,Jeremy,False,25,"That's right, yeah. I'm taking Paula back to listen to my work. She seems like someone who'd appreciate a good track when she heard it."
50,50,1,Jeremy,False,26,"Yes, that's right, I'm going. The coast is clear. I don't expect you'll get very far but by all means have a pop at the champ."
51,51,1,Jeremy,False,4,What? Are you serious?
52,52,1,Jeremy,False,2,"No, right."
53,53,1,Jeremy,False,5,"Look, you're a cockmuncher, OK?"
54,54,1,Jeremy,True,14,"Of course, you can't catch cancer. I mean, I'd have heard. Someone would've said."
55,55,1,Jeremy,False,5,Do you really think so?
56,56,1,Jeremy,True,6,What kind? Blood? Bone? Knee? Face?
57,57,1,Jeremy,False,5,Great! I mean... that's great!
58,58,1,Jeremy,True,5,"Shit. Of course, it's who you blow."
59,59,1,Jeremy,False,13,"No, no, sure. I know the rules. Yeah. Let's get it on, baby."
60,60,1,Jeremy,True,9,"You're a sunshine coach, bringing a last smile to…"
61,61,1,Jeremy,False,17,"Urgh, if we've got to do this, do you mind keeping the hat on? It's just... sorry."
62,62,1,Jeremy,False,1,No?
63,63,1,Jeremy,False,36,"I don't mind. I'd just rather not. We could take Polaroids of me, you know, all excited and you could take them away or something. I am very keen to sort you out, so to speak."
64,64,1,Jeremy,False,9,"But on the song, do you really like it?"
65,65,1,Jeremy,False,12,"Yeah, I guess you're not in the right frame of mind to..."
66,66,1,Jeremy,True,6,"Don't go on about it, Jesus."
67,67,1,Jeremy,True,6,How much time has she got?
68,68,1,Jeremy,False,13,"Maybe. I mean, how long are you planning to stay in your job?"
69,69,1,Jeremy,False,7,"Right. Look, should you be doing that?"
70,70,1,Jeremy,False,15,"Jesus. You know, I do think you're brave. I just think you're very, very brave."
71,71,1,Jeremy,False,11,"Listen to you, you beautiful crazy thing. I meant... the cancer."
72,72,1,Jeremy,False,6,The bloody cancer eating you away!
73,73,1,Jeremy,False,15,Oh yeah! Very funny! I suppose you think cancer is this huge enormous practical joke!
74,74,1,Jeremy,False,35,"No, no you're quite the guy. Certainly not the kind of sicko to ruin someone's music career by suggesting that certain other people have cancer! What joke is next? Hey Jez, your mum's dead! Ba-boom! Bloody hilarious!"
75,75,1,Jeremy,False,23,I'm sure if Kerry was here she'd be rolling round the floor except she couldn't cause she's head to toe in acupuncture needles.
76,76,1,Jeremy,False,35,What's the big deal? So I didn't give him the number for Dr Tang. She's got leukaemia. Sticking a few needles in her face at fifty quid a pop is not going to fix that.
77,77,2,Jeremy,True,12,"Yeah, take that, big Suze. Your toilet-seat regime is over. Ah, freedom."
78,78,2,Jeremy,True,3,There he is.
79,79,2,Jeremy,False,3,"Good morning, Mark."
80,80,2,Jeremy,True,6,"Wedge of ballast, then bed again."
81,81,2,Jeremy,True,40,It's a bit like the crusher in Star Wars but red hot. What if Mum and Dad were trapped in one and I had a big hook I could swing down to rescue one of them. Who would I pick?
82,82,2,Jeremy,False,1,Uh-huh.
83,83,2,Jeremy,True,28,"Clerical assistant? I can't be a clerical assistant. I'm a musician. You wouldn't ask the Chemical Brothers to do your laundry for you, they'd be off their tits."
84,84,2,Jeremy,False,9,"Tomorrow at eleven. Yeah, sure. I'll set the video."
85,85,2,Jeremy,False,11,"Mm-hmm, it's just the music, it's really starting to hot up."
86,86,2,Jeremy,False,34,"Super Hans said he's come up with a bass loop for our new track that is so good that when he tried turning it off, he literally couldn't. He actually physically couldn't do it."
87,87,2,Jeremy,False,3,Oh. The rent.
88,88,2,Jeremy,False,10,"Don't worry, you'll get your milk. This track's a banker."
