Season,Episode,Speaker,To,Line,Location
4,1,Sophie,Mark,"I don't know, Mark, yours is very expensive.",Department Store
4,1,Mark,Sophie,"Soph, it's the wedding list. If some dupe wants to buy us the gold standard of sugar bowls, I say milk them till they're dry.",Department Store
4,1,Sophie,Mark,"I just think if our relationship were a sugar bowl, it would definitely be this one.",Department Store
4,1,Mark,Mark,"How the fuck did it come to this? I'm getting married to a woman I may not love, and I've got stupid fashionable hair all over my face.",Department Store
4,1,Sophie,Mark,Do you mind?,Department Store
4,1,Mark,Sophie,"No, sure, of course not.",Department Store
4,1,Mark,Mark,"It's only a sugar bowl. Hopefully, I won't even get married. If I do, eventually it'll get chipped or broken. Then I'll get the sugar bowl of my dreams.",Department Store
4,1,Sophie,Mark,"So, what are you going to wear for my birthday?",Department Store
4,1,Mark,Sophie,"Um, some of my clothes.",Department Store
4,1,Sophie,Mark,It would be nice to get all spruced up to meet Mum and Dad.,Department Store
4,1,Mark,Sophie,"Soph, no need for new stuff. I've got three pairs of trousers and loads of shirts that aren't worn out.",Department Store
4,1,Sophie,Mark,But they don't go with your new look.,Department Store
4,1,Mark,Mark,I'm a bearded concubine.,Department Store
4,1,Sophie,Mark,What about this?,Department Store
4,1,Mark,Sophie,"You do know who that is, don't you?",Department Store
4,1,Sophie,Mark,"Yes, it's Chairman Mao, isn't it?",Department Store
4,1,Mark,Sophie,"Exactly, the man was responsible for the deaths of sixty million people. I don't want him on my chest.",Department Store
4,1,Sophie,Mark,"Sixty million, that's more than Stalin, isn't it?",Department Store
4,1,Mark,Sophie,"It's not a competition, Soph. Although if it was, Mao would probably win.",Department Store
4,1,Sophie,Mark,"Oh, these are nice. Try these on.",Department Store
4,1,Mark,Sophie,This is just a zip. There's no pocket to this zip.,Department Store
4,1,Sophie,Mark,So?,Department Store
4,1,Mark,Mark,"That's the way things are these days. Let's just put a zip here, a swastika there, why not? Who knows what these things were once used for. Who the hell even cares?",Department Store
4,1,Jeremy,Super Hans,But what's Blair going to do?,Living Room
4,1,Super Hans,Jeremy,Maybe he'll become an ethical porn star.,Living Room
4,1,Jeremy,Super Hans,"Ha. Or a super group? Blair on guitar, Bono on vocals, Clinton on sax?",Living Room
4,1,Super Hans,Jeremy,"Yeah, that is definitely gonna happen. Geldof's gonna shit.",Living Room
