Season,Episode,Speaker,To,Line,Location
1,1,Jeremy,Jeremy,"This is fucking wicked. I am almost definitely a musical genius. Maybe a tattoo on my chest, but of my face. Yeah, double me! Feel it!",Jez's Room
1,1,Mark,Mark,"She's on there, she's on there. Got to get the same bus home. Don't go! Almost there. Yes, I am the lord of the bus, said he! Where is she? Knickers! She's not on here.",Outside
1,1,Sophie,Mark,Hey Mark!,Bus
1,1,Mark,Sophie,Sophie!,Bus
1,1,Sophie,Mark,We must stop meeting like this.,Bus
1,1,Mark,Sophie,I was running. Were you running?,Bus
1,1,Sophie,Mark,I was right behind you. I shouted but,Bus
1,1,Mark,Sophie,"Of course, stupid music. Why don't you?",Bus
1,1,Sophie,Mark,So what did you make of Jeff's memo?,Bus
1,1,Mark,Mark,"Oh no, shit! She's... I should say. No, too late. Already it's too late. Maybe if we hit a bump I can slip it out, or keep schtum, ride it out. Gonna need to waggle eventually, keep the circulation going",Bus
1,1,Sophie,Mark,"Oh God there's something, Mark, have you? Your hand?!",Bus
1,1,Mark,Sophie,"Oh, I was going to say, but I just, sorry.",Bus
1,1,Sophie,Mark,"No, no. It's fine.",Bus
1,1,Mark,Mark,"Of course, she's giving you the book-off. Women don't want your hand under their bottoms, Mark. That's been established. That's a given. ""She sat on it officer, it was an accident."" ""Of course it was, now get in with the nonces.""",Bus
1,1,Mark,Mark,What a disaster,Outside
1,1,Boys,Mark,"Oi mate, can I have some of your Coke?",Outside
1,1,Mark,Mark,"They're going to trap me, and their brothers will hack me to",Outside
1,1,Boys,Mark,"I said, can I have a bit of your",Outside
1,1,Mark,Boys,"Here, look, you can",Outside
1,1,Boys,Mark,"Hey look, he's a paedo!",Outside
1,1,Boys,Mark,Paedo! You fucking paedo!,Outside
1,1,Mark,Mark,You're not a paedo. You're definitely not a paedo.,Outside
1,1,Boys,Mark,Paedo! Go home man!,Outside
1,1,Mark,Mark,"Those kids have no idea whatsoever of what went on at Stalingrad. Although I can in no way compare my struggle of reading it with that of the Red Army, it has been a very big read.",Living Room
1,1,TV,Mark,I'm basically hoping to meet someone who's exactly like myself.,Living Room
1,1,Mark,Mark,Pfftt. That's exactly the opposite of what I'm looking for.,Living Room
1,1,Jeremy,Mark,Hey man.,Living Room
1,1,Mark,Jeremy,Hey man.,Living Room
1,1,Jeremy,Mark,"I'm telling you, now I know whatshisname felt when he finished the Mona Lisa - knackered. So how was your day?",Living Room
1,1,Mark,Jeremy,Shit.,Living Room
1,1,Jeremy,Mark,"Well, Toni came round to drop this off.",Living Room
1,1,Mark,Jeremy,"Oh! A party? Did you, you know, make your move?",Living Room
1,1,Jeremy,Mark,"No, she was going to Starbucks to read a book. It's one of her things. Besides, the move, it's not a whole Sophie uptight situation. We're just gradually sliding into a... a fuck buddy scenario.",Living Room
1,1,Mark,Jeremy,Fuck buddy?,Living Room
1,1,Jeremy,Mark,"Yeah, a buddy, you can fuck. I mean we're both so relaxed about the whole sex thing. Last time I was around there I watched a porno. Four in the afternoon - just me and her watching a porno. I mean, that's me. I'm not ready for the kind of thing you're after. The whole... someone to go to Waitrose with.",Living Room
1,1,Mark,Jeremy,Yeah I suppose.,Living Room
1,1,Mark,Mark,I don't want to go to Waitrose. I want a fuck buddy.,Living Room
1,1,Jeremy,Jeremy,I wish I was her fuck buddy next door. We could do it through the wall.,Living Room
1,1,Jeremy,Mark,How thick is wall?,Living Room
1,1,Mark,Jeremy,"Depends. So, which Starbucks does she go to?",Living Room
1,1,Mark,Mark,"Come on, come on. Piss off. I want to go to the shop. Need a poo, got to have loo paper. I should be able to just walk out of my own front door. What's wrong with me? Would be great if a car just ploughed into the lot of them. Twisted, broken bones.",Apollo House
1,1,Toni,Mark,"Jesus, Mark! Are you OK?",Apollo House
1,1,Mark,Toni,"Hi Toni, I'm fine. I was just checking the letterbox for... sometimes they get stuck in there and the next thing you know, your phone's cut off.",Apollo House
1,1,Toni,Mark,"Right. God, you know they haven't got any Alpen at that stupid corner shop.",Apollo House
1,1,Mark,Toni,No?,Apollo House
1,1,Toni,Mark,"I asked him. I said ""Have you got any Alpen?"" He said ""No."" I said ""Well, are you going to be ordering any in?"" and he said he didn't know!",Apollo House
1,1,Mark,Toni,"Oh right, that is a bit crap.",Apollo House
1,1,Toni,Mark,It's ridiculous! What kind of a shop doesn't have Alpen?!,Apollo House
1,1,Mark,Toni,I don't know.,Apollo House
1,1,Mark,Mark,Go on.,Apollo House
1,1,Mark,Toni,I've got Alpen!,Apollo House
1,1,Toni,Mark,Yeah?,Apollo House
1,1,Mark,Toni,"Yeah, I mean... you could, have some.",Apollo House
1,1,Mark,Mark,What are you doing? What about the poo?,Apollo House
1,1,Mark,Mark,If I can just hold it in... I think it's retreating.,Kitchen
1,1,Mark,Toni,"So, here we are then. Bowl o' Alpen.",Kitchen
1,1,Toni,Mark,"It always makes me think of skiing holidays. We always used to go skiing on holiday. Me, my mum, my sister.",Kitchen
1,1,Mark,Toni,Wicked. I've got a sister. She's a lawyer actually.,Kitchen
1,1,Mark,Mark,Don't boast!,Kitchen
1,1,Mark,Toni,What does your sister do?,Kitchen
1,1,Toni,Mark,Not much. She's got leukaemia.,Kitchen
1,1,Mark,Mark,That's what you get for trying to flirt.,Kitchen
1,1,Mark,Toni,"That's terrible, I'm so sorry. I suppose, I mean at least it's not cancer.",Kitchen
1,1,Toni,Mark,It's a form of cancer.,Kitchen
1,1,Mark,Toni,"Shit, that's terrible. My gran died of cancer. Although hopefully your sister won't... obviously. Listen, let's talk about something else. Something fun. Do you like Blackadder? I got the Blackadder set for Christmas.",Kitchen
1,1,Toni,Mark,"I never really, I mean…",Kitchen
1,1,Mark,Toni,"No, no, sure, forget it. Terrible idea. I know something funny.",Kitchen
1,1,Mark,Toni,And he's been working on it for about a month!,Jez's Room
1,1,Mark,Toni,"Wait, this is the best bit.",Jez's Room
1,1,Jeremy,Jeremy,"This Grammy goes out to my homeboys in Compton, the Japanese people who mean so much to me. Hey, Mark's playing my track. Ah, he just can't get enough of that shit.",Flat
1,1,Mark,Jeremy,Jez!,Jez's Room
1,1,Jeremy,Mark,What's going on?,Jez's Room
1,1,Jeremy,Toni,Toni?,Jez's Room
