Season,Episode,Speaker,To,Line,Location
9,1,Jeremy,Jeremy,"God, I'm nervous, I haven't seen Mark for six months. Hope he's not too horrible. Maybe he'll have forgotten I tried to steal his girlfriend? I pretty much have.",Outside
9,1,Mark,Mark,"I'll never forget he tried to steal my girlfriend. But I won't mention it tonight, can't ruin Super Hans' stag. I've reached acceptance. With the aid of a self-help CD I loathe, I've reached acceptance. Oh, my God, there he is.",Outside
9,1,Jeremy,Jeremy,"Here we go. Mr. Big, the ex-provider of my cheddar.",Outside
9,1,Mark,Mark,"Relax, no recriminations on the stag. I haven't had a night out for months, no recriminations on the stag.",Outside
9,1,Mark,Jeremy,Hello Jeremy.,Outside
9,1,Jeremy,Mark,Mark. Good to see you.,Outside
9,1,Mark,Jeremy,"Likewise, I'm sure.",Outside
9,1,Jeremy,Mark,So.,Outside
9,1,Jeremy,Jeremy,Going to relax this shit out with a lean.,Outside
9,1,Jeremy,Mark,"Yeah, so how's yous?",Outside
9,1,Mark,Jeremy,I'm most content.,Outside
9,1,Jeremy,Mark,"Right, that's good that you're happy.",Outside
9,1,Mark,Jeremy,"I mean, obviously not that happy since Dobby moved to New York.",Outside
9,1,Mark,Mark,"Ugh, I did recriminations on the stag.",Outside
9,1,Jeremy,Mark,"Yeah, right.",Outside
9,1,Jeremy,Jeremy,The Elephant Man never forgets.,Outside
9,1,Mark,Jeremy,"Well, this is it, Super Hans' stag. Hard hats on, time to descend into the depths of depravity.",Outside
9,1,Super Hans,Jeremy,"Oi oi, it's Snoopy and the Red Baron, come in, you pair of fucking carb-loaders. Now, the base juices are all paid for, lads, so just choose your fucking additions and let's detox till we've got mega cocks.",Juice Bar
9,1,Jeremy,Jeremy,"Oh, my God, he's cleaned up for the wedding. Iggy's gone to rehab, sober Hans.",Juice Bar
9,1,Jeremy,Jeremy,"This stag is one load of PG-rated, Disney-assed, Which? Magazine approved, childproof, high-vitamin fucking bullshit.",Juice Bar
9,1,Mark,Jeremy,"Jez, do you think at some point soon that it's gonna start to degenerate?",Juice Bar
9,1,Super Hans,Mark,"...and antioxidants. Oh, here we go, lads, more juice.",Juice Bar
9,1,Mark,Super Hans,"Delicious, Hans. I'm just not sure how much more juice I can manage, to be honest.",Juice Bar
9,1,Jeremy,Super Hans,"Yeah, after you've had three or four really big juices...",Juice Bar
9,1,Super Hans,Jeremy,"Yeah, whatever. So listen, I thought we'd hang here for a bit, and then a little stroll down Oxford Street, take in the funny T-shirts, hit one of my fave Prets, more juice, bit of a relax. Then this avo, shopping, relax, juice, and then Tussauds. They've got a new waxwork of Zoella and some other wicked YouTubers. Sound tasty?",Juice Bar
9,1,Mark,Jeremy,When do you think it'll degenerate?,Juice Bar
9,1,Jeremy,Mark,I would think it'd degenerate soon.,Juice Bar
9,1,Jeremy,Jeremy,"Oh, pissing pure Innocent smoothie, there's no way we can talk more about juice.",Juice Bar
9,1,Super Hans,Others,"See, the thing about juice from most places is you get all the fibre and most of the vitamins, but if it's been pasteurised a fuck-lot of the micro-nutrient content has been neutralised.",Juice Bar
9,1,Super Hans,Megan,"Oh no, I don't think so, love, we're not... ",Juice Bar
9,1,Super Hans,Others,did one of you jokers order this?,Juice Bar
9,1,Megan,Super Hans,"Sorry fuck, wrong table.",Juice Bar
9,1,Mark,Super Hans,"Unless, um...",Juice Bar
9,1,Jeremy,Super Hans,One little siparoo?,Juice Bar
9,1,Super Hans,Jeremy,"No, mate, no! No. What, just to wet the whistle?",Juice Bar
9,1,Mark,Super Hans,"Exactly, just to wet the whistle.",Juice Bar
9,1,Super Hans,Mark,"Well, if it's just to wet the whistle.",Juice Bar
9,1,Jeremy,Jeremy,"That's right, get that big, old whistle really nice and wet.",Juice Bar
9,1,Super Hans,Jeremy,Mmm. That is quite refreshing.,Juice Bar
9,1,Super Hans,Jeremy,Oh I just wanna fuck and suck. Fuck and suck. Fuck and suck. Everyone! I just wanna fuck and suck. All the whole night through. I love cocaine! I love cocaine!,Juice Bar
9,1,Megan,Jeremy,"Like, I'm really passionate about my art, but I'm stuck working here, and it's like, when is it going to happen for me, you know?",Juice Bar
9,1,Jeremy,Megan,Probably never.,Juice Bar
9,1,Megan,Jeremy,Right.,Juice Bar
9,1,Jeremy,Megan,What are your actual chances of making a living as an artist?,Juice Bar
9,1,Megan,Jeremy,"I don't know, like, not very high?",Juice Bar
9,1,Jeremy,Megan,"Exactly, not very high.",Juice Bar
9,1,Super Hans,Jeremy,"Jez, I want to go full horrible. Take me to the nasties.",Juice Bar
9,1,Jeremy,Super Hans,"All in good time, Hans.",Juice Bar
9,1,Jeremy,Megan,"Look, I'm a life coach, so when I say ""sometimes you have to kill a dream to follow a dream"", that's advice backed by a professional standards body.",Juice Bar
9,1,Jeremy,Jeremy,"Mm, I've said body, she'll be thinking about my body.",Juice Bar
9,1,Others,Super Hans,"Scuse me there, mate.",Juice Bar
9,1,Super Hans,Others,Fuck off! I heard of The Strokes before you.,Juice Bar
9,1,Mark,Jeremy,"Ha, it did degenerate.",Juice Bar
9,1,Jeremy,Mark,I knew it would.,Juice Bar
9,1,Super Hans,Jeremy,"I want Molly, I love Molly!",Super Hans' Flat
9,1,Jeremy,Super Hans,"She's not here, Hans.",Super Hans' Flat
9,1,Mark,Super Hans,"All right, you're home now, let's get you on the futon. Sleep it off.",Super Hans' Flat
9,1,Super Hans,Mark,I fucking hate the futon.,Super Hans' Flat
9,1,Jeremy,Super Hans,"Everyone does. But they're indestructible, so we are stuck with them.",Super Hans' Flat
9,1,Mark,Jeremy,"You're living here with Super Hans and his fiancée, the three of you in their tiny flat?",Super Hans' Flat
9,1,Jeremy,Mark,"Yep, oh yep.",Super Hans' Flat
9,1,Mark,Jeremy,So where do you...?,Super Hans' Flat
9,1,Jeremy,Mark,"Come on through. It's a great space, extremely versatile.",Super Hans' Flat
9,1,Mark,Jeremy,This is your room?,Super Hans' Flat
9,1,Jeremy,Mark,"The humidity is actually great for my chest. I mean, it's not number one Hyde Park Palace, but it suits me down to the ground.",Super Hans' Flat
9,1,Mark,Mark,This is the most pathetic sight known to man.,Super Hans' Flat
9,1,Jeremy,Mark,I think of it as a sunken bed.,Super Hans' Flat
