Season,Episode,Speaker,To,Line,Location
8,1,Super Hans,Jeremy,I'm loving the bathroom showroom. Got these new soft close toilet seats in. It's like they're winking at you in slow motion. Flirty little fuckers.,Jez's Room
8,1,Jeremy,Jeremy,"Hans has sold out, a job and a suit, and now we're burning all our band stuff. Even the contract we signed with God on Mephedrone.",Jez's Room
8,1,Jeremy,Super Hans,Are we really gonna do this?,Jez's Room
8,1,Super Hans,Jeremy,"Yeah, this is it, man. This is the day the music died. This is the end of... what are we called?",Jez's Room
8,1,Jeremy,Super Hans,"Dunno, Thirteen Bastards?",Jez's Room
8,1,Mark,Jeremy,"Hello boys, excuse me.",Jez's Room
8,1,Jeremy,Mark,"More, Mark?",Jez's Room
8,1,Mark,Jeremy,It's a table for my printer. You're not doing a barbecue again are you? You know that doesn't work.,Jez's Room
8,1,Jeremy,Mark,Could you please stop trying to kill me with flat packs? I'm on my way. I'm going. I'm gone.,Jez's Room
8,1,Mark,Jeremy,Clearly you haven't gone.,Jez's Room
8,1,Jeremy,Mark,Basically I have.,Jez's Room
8,1,Mark,Jeremy,"Well, you stopped paying rent. Or rather, you've stopped being guilty about not paying rent.",Jez's Room
8,1,Super Hans,Jeremy,"There's always my place, Jez. I've got the bag, bag's yours.",Jez's Room
8,1,Jeremy,Super Hans,Cheers man.,Jez's Room
8,1,Jeremy,Jeremy,"Not the bag, never Hans' bag.",Jez's Room
8,1,Super Hans,Mark,"And Mark, just so you know, guys at the showroom are looking for more hands on deck. Money's tasty, and you get to work with toilets which is obviously funny. And showers, which are sexy.",Jez's Room
8,1,Mark,Super Hans,"OK, a job.",Jez's Room
8,1,Super Hans,Mark,"Yeah, I'll put a word in.",Jez's Room
8,1,Mark,Super Hans,"Thank, thanks for the job tip, Hans.",Jez's Room
8,1,Mark,Mark,"Christ, headhunted by Super Hans. He might be one of the few Western head-hunters who would physically chop a head off.",Jez's Room
8,1,Jeremy,Jeremy,Why didn't I get the job tip? We could have been the Chemical Toilet Brothers.,Jez's Room
8,1,Mark,Mark,"So great that Dobby's agreed to move in. Just got to close the deal. Get her into the flat, and get her locked down like Fritzl. No, not like Fritzl. Like a nice, normal, loving guy who knows where she is at all times. Which at no point would be locked in the cellar.",Dobby's Flat
8,1,Mark,Dobby,Good time at Gerrard's last night?,Dobby's Flat
8,1,Dobby,Mark,Yeah. We had a game of Connect Four.,Dobby's Flat
8,1,Mark,Dobby,"Ah, Connect Four.",Dobby's Flat
8,1,Mark,Mark,"God, he's so sickly. She never plays Connect Four with me. I'd love to play Connect Four with her, if it wasn't so boring.",Dobby's Flat
8,1,Dobby,Mark,He's not in a great way. Poor guy can barely move.,Dobby's Flat
8,1,Mark,Dobby,"Aw, really?",Dobby's Flat
8,1,Mark,Mark,I bet some parts of him can move very well.,Dobby's Flat
8,1,Mark,Dobby,"Looks like I've got a job interview lined up, bathroom supplies. Incredibly flat management structure, which is cool.",Dobby's Flat
8,1,Dobby,Mark,Amazing!,Dobby's Flat
8,1,Mark,Mark,"Ah, lovely, fake enthusiasm.",Dobby's Flat
8,1,Dobby,Mark,"Hey Mark, can you open a tin of mushy peas?",Dobby's Flat
8,1,Mark,Mark,"Hold on, what's that, what's that there?",Dobby's Flat
8,1,Mark,Dobby,"Oh, a new tin-opener? Sweet.",Dobby's Flat
8,1,Mark,Mark,"I've got a tin-opener, why is she buying a new tin-opener? Fuck, she's not gonna move in. This is no pound shop-tin opener. This is a luxury tin-opener! She's gonna use this to open her single tins, and then somehow get the sexual satisfaction from it I so obviously can't give her.",Dobby's Flat
8,1,Mark,Dobby,"Oh, uh, Dobs, just because I need to do a form, when do you think you might be moving in?",Dobby's Flat
8,1,Dobby,Mark,"Um, yeah, soon? The rent here is killing me, so yeah. When I can get the bloody deposit sorted, and get my shit together.",Dobby's Flat
8,1,Mark,Dobby,"Ah, cool.",Dobby's Flat
8,1,Mark,Mark,"The getting together of the shit. Could take a night, could take five years.",Dobby's Flat
8,1,Dobby,Mark,"Shit, nuke this, will ya?",Dobby's Flat
8,1,Mark,Mark,"Need more information. The tin opener isn't conclusive. Could ask her straight how she feels. Ha ha ha. Yeah, right. What if I broke the microwave? Test case, if she buys a new one, then I'll know she's never moving in. Hmm, can I? Yeah. Maybe a good old waggle in there. Take that, mechanism! You weren't built for the screwdriver, were you? You don't like that in there, do you? Ha ha. No macaroni for us tonight. Sorry, microwave.",Dobby's Flat
8,1,Mark,Dobby,"Oh, Dobs, it looks like your bloody microwave's bust or something. Still, I've got one at mine, so...",Dobby's Flat
8,1,Dobby,Mark,"Oh, but I only do robot cooking, I can't do analogue. Screw it, I'll grab something at Gerrard's.",Dobby's Flat
8,1,Mark,Dobby,Gerrard's?,Dobby's Flat
