,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.0,1.0,0.0,0.0,"I don't know, Mark, yours is very expensive.",1,Sophie,8
1,0.0,1.0,0.0,0.0,"Soph, it's the wedding list.",1,Mark,5
2,0.122,0.878,0.0,-0.3612,"If some dupe wants to buy us the gold standard of sugar bowls, I say milk them till they're dry.",1,Mark,20
3,0.0,0.828,0.172,0.4019,"I just think if our relationship were a sugar bowl, it would definitely be this one.",1,Sophie,16
4,0.333,0.667,0.0,-0.5423,How the fuck did it come to this?,1,Mark,8
5,0.297,0.703,0.0,-0.7762,"I'm getting married to a woman I may not love, and I've got stupid fashionable hair all over my face.",1,Mark,20
6,0.293,0.4,0.307,0.0258,"No, sure, of course not.",1,Mark,5
7,0.0,1.0,0.0,0.0,It's only a sugar bowl.,1,Mark,5
8,0.0,0.597,0.403,0.4019,"Hopefully, I won't even get married.",1,Mark,6
9,0.307,0.693,0.0,-0.4767,"If I do, eventually it'll get chipped or broken.",1,Mark,9
10,0.0,0.748,0.252,0.4019,Then I'll get the sugar bowl of my dreams.,1,Mark,9
11,0.0,1.0,0.0,0.0,"So, what are you going to wear for my birthday?",1,Sophie,10
12,0.0,1.0,0.0,0.0,"Um, some of my clothes.",1,Mark,5
13,0.0,0.823,0.177,0.4215,It would be nice to get all spruced up to meet Mum and Dad.,1,Sophie,14
14,0.306,0.694,0.0,-0.296,"Soph, no need for new stuff.",1,Mark,6
15,0.0,0.873,0.127,0.2235,I've got three pairs of trousers and loads of shirts that aren't worn out.,1,Mark,14
16,0.0,1.0,0.0,0.0,But they don't go with your new look.,1,Sophie,8
17,0.0,1.0,0.0,0.0,I'm a bearded concubine.,1,Mark,4
18,0.0,1.0,0.0,0.0,"You do know who that is, don't you?",1,Mark,8
19,0.0,0.649,0.351,0.4019,"Yes, it's Chairman Mao, isn't it?",1,Sophie,6
20,0.0,0.827,0.173,0.3182,"Exactly, the man was responsible for the deaths of sixty million people.",1,Mark,12
21,0.196,0.804,0.0,-0.0572,I don't want him on my chest.,1,Mark,7
22,0.0,1.0,0.0,0.0,"Sixty million, that's more than Stalin, isn't it?",1,Sophie,8
23,0.0,1.0,0.0,0.0,"It's not a competition, Soph.",1,Mark,5
24,0.0,0.648,0.352,0.5859,"Although if it was, Mao would probably win.",1,Mark,8
25,0.0,0.517,0.483,0.4215,"Oh, these are nice.",1,Sophie,4
26,0.0,1.0,0.0,0.0,This is just a zip.,1,Mark,5
27,0.306,0.694,0.0,-0.296,There's no pocket to this zip.,1,Mark,6
28,0.0,1.0,0.0,0.0,That's the way things are these days.,1,Mark,7
29,0.0,1.0,0.0,0.0,"Let's just put a zip here, a swastika there, why not?",1,Mark,11
30,0.0,1.0,0.0,0.0,Who knows what these things were once used for.,1,Mark,9
31,0.434,0.283,0.283,-0.3818,Who the hell even cares?,1,Mark,5
32,0.0,1.0,0.0,0.0,But what's Blair going to do?,1,Jeremy,6
33,0.0,0.645,0.355,0.5106,Maybe he'll become an ethical porn star.,1,Super Hans,7
34,0.0,0.339,0.661,0.5994,Or a super group?,1,Jeremy,4
