,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.0,0.756,0.244,0.2263,"Now, look, Hans, I want you to be careful taking it out.",1,Mark,12
1,0.299,0.513,0.188,-0.3182,"Yeah, he's a big bastard, I'll give you that.",1,Super Hans,9
2,0.189,0.811,0.0,-0.2732,"Maybe I can break him down, cut him down to size.",1,Super Hans,11
3,0.182,0.649,0.169,-0.0258,"If you want, I could get the axe.",1,Super Hans,8
4,0.28,0.4,0.32,0.34,"Just a hand axe, Mark, not a felling axe.",1,Super Hans,9
5,0.688,0.312,0.0,-0.5267,"No, Hans, no axes.",1,Mark,4
6,0.0,0.649,0.351,0.4019,"I could help for a little sweetener, a fiver?",1,Jeremy,9
7,0.0,1.0,0.0,0.0,"Oh I suppose you never really sat on that sofa much, did you?",1,Mark,13
8,0.0,1.0,0.0,0.0,Maybe just for about a hundred thousand hours.,1,Mark,8
9,0.0,1.0,0.0,0.0,"And I suppose you won't sit on the new sofa much, either.",1,Mark,12
10,0.0,1.0,0.0,0.0,"I just need money, Mark.",1,Jeremy,5
11,0.092,0.451,0.458,0.5959,"Yes, well, I don't want to pay you for domestic chores.",1,Mark,11
12,0.181,0.723,0.096,-0.34,That's why I'm abusing my management position to get you challenging work at JLB.,1,Mark,14
13,0.085,0.915,0.0,-0.1027,"I don't need to be challenged, Mark, I just need something to do in the mornings, some purpose.",1,Jeremy,18
14,0.244,0.756,0.0,-0.4404,I'm tired of staring at my own winkle all day.,1,Jeremy,10
15,0.0,0.789,0.211,0.1531,And careful bringing the new one in.,1,Mark,7
16,0.0,1.0,0.0,0.0,Chipped paintwork and abrasions to the upholstery will result in deductions.,1,Mark,11
17,0.0,0.572,0.428,0.7891,"Yeah, yeah, yeah, ""terms and conditions apply"", ""this energy drink may cause anal discharge"", et cetera.",1,Super Hans,16
18,0.0,1.0,0.0,0.0,Hasn't got a girlfriend so he buys a new sofa.,1,Jeremy,10
19,0.0,0.737,0.263,0.431,"You can't fuck a sofa, mate, take it from me.",1,Jeremy,10
20,0.0,1.0,0.0,0.0,"This suit, it's sapping my vibe, my powers.",1,Jeremy,8
21,0.0,1.0,0.0,0.0,I can't think right.,1,Jeremy,4
22,0.0,0.583,0.417,0.5106,"Yeah, well, why don't you get another job?",1,Mark,8
23,0.0,1.0,0.0,0.0,"You could explore that opening at the giant beanstalk, catching the golden eggs as they fall from the arse of the giant's chicken.",1,Mark,23
24,0.133,0.867,0.0,-0.0572,"I mean, there weren't any jobs when I didn't want a job.",1,Jeremy,12
25,0.174,0.56,0.266,0.079,"And now I do want a job, there are like, totally, no jobs.",1,Jeremy,13
26,0.376,0.624,0.0,-0.7804,"Not just like, there aren't any jobs, but like, there are totally, quite literally, no jobs.",1,Jeremy,16
27,0.0,1.0,0.0,0.0,You should just get a van.,1,Super Hans,6
28,0.0,0.737,0.263,0.3612,"With a van, it's like you've got an MBA.",1,Super Hans,9
29,0.0,0.708,0.292,0.3566,"But you've also got a fucking van, yeah?",1,Super Hans,8
30,0.0,1.0,0.0,0.0,You're not just a man any more.,1,Super Hans,7
31,0.0,1.0,0.0,0.0,You are a man with a van.,1,Super Hans,7
32,0.0,1.0,0.0,0.0,"You get a van, Jez, we could be men with ven.",1,Super Hans,11
33,0.0,1.0,0.0,0.0,"This is a bunch of stuff, got left on board.",1,Super Hans,10
