,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.552,0.448,0.0,-0.5709,This is fucking wicked.,1,Jeremy,4
1,0.0,0.624,0.376,0.3415,I am almost definitely a musical genius.,1,Jeremy,7
2,0.0,1.0,0.0,0.0,"Maybe a tattoo on my chest, but of my face.",1,Jeremy,10
3,0.0,1.0,0.0,0.0,"She's on there, she's on there.",1,Mark,6
4,0.0,1.0,0.0,0.0,Got to get the same bus home.,1,Mark,7
5,0.0,0.728,0.272,0.4574,"Yes, I am the lord of the bus, said he!",1,Mark,10
6,0.0,1.0,0.0,0.0,She's not on here.,1,Mark,4
7,0.253,0.46,0.287,0.0772,We must stop meeting like this.,1,Sophie,6
8,0.0,1.0,0.0,0.0,I was right behind you.,1,Sophie,5
9,0.531,0.469,0.0,-0.5267,"Of course, stupid music.",1,Mark,4
10,0.0,1.0,0.0,0.0,So what did you make of Jeff's memo?,1,Sophie,8
11,0.0,1.0,0.0,0.0,Already it's too late.,1,Mark,4
12,0.0,1.0,0.0,0.0,"Maybe if we hit a bump I can slip it out, or keep schtum, ride it out.",1,Mark,17
13,0.0,1.0,0.0,0.0,"Gonna need to waggle eventually, keep the circulation going",1,Mark,9
14,0.0,0.741,0.259,0.2732,"Oh God there's something, Mark, have you?",1,Sophie,7
15,0.172,0.828,0.0,-0.1154,"Oh, I was going to say, but I just, sorry.",1,Mark,10
16,0.0,0.714,0.286,0.34,"Of course, she's giving you the book-off.",1,Mark,7
17,0.355,0.645,0.0,-0.431,"Women don't want your hand under their bottoms, Mark.",1,Mark,9
18,0.0,1.0,0.0,0.0,"""She sat on it officer, it was an accident.""",1,Mark,9
19,0.0,1.0,0.0,0.0,"""Of course it was, now get in with the nonces.""",1,Mark,10
20,0.0,1.0,0.0,0.0,"Oi mate, can I have some of your Coke?",1,Boys,9
21,0.173,0.827,0.0,-0.3182,"They're going to trap me, and their brothers will hack me to",1,Mark,12
22,0.0,1.0,0.0,0.0,"I said, can I have a bit of your",1,Boys,9
23,0.0,1.0,0.0,0.0,"Here, look, you can",1,Mark,4
24,0.0,1.0,0.0,0.0,"Hey look, he's a paedo!",1,Boys,5
25,0.0,1.0,0.0,0.0,You're not a paedo.,1,Mark,4
26,0.0,0.526,0.474,0.4019,You're definitely not a paedo.,1,Mark,5
27,0.167,0.833,0.0,-0.296,Those kids have no idea whatsoever of what went on at Stalingrad.,1,Mark,12
28,0.176,0.824,0.0,-0.5423,"Although I can in no way compare my struggle of reading it with that of the Red Army, it has been a very big read.",1,Mark,25
29,0.0,0.602,0.398,0.6486,I'm basically hoping to meet someone who's exactly like myself.,1,TV,10
30,0.0,1.0,0.0,0.0,That's exactly the opposite of what I'm looking for.,1,Mark,9
31,0.0,1.0,0.0,0.0,"I'm telling you, now I know whatshisname felt when he finished the Mona Lisa - knackered.",1,Jeremy,16
32,0.0,1.0,0.0,0.0,So how was your day?,1,Jeremy,5
33,0.206,0.588,0.206,0.0,"Well, Toni came round to drop this off.",1,Jeremy,8
34,0.0,1.0,0.0,0.0,"Did you, you know, make your move?",1,Mark,7
35,0.216,0.784,0.0,-0.296,"No, she was going to Starbucks to read a book.",1,Jeremy,10
36,0.0,1.0,0.0,0.0,It's one of her things.,1,Jeremy,5
37,0.0,0.786,0.214,0.2924,"Besides, the move, it's not a whole Sophie uptight situation.",1,Jeremy,10
38,0.304,0.696,0.0,-0.5423,We're just gradually sliding into a... a fuck buddy scenario.,1,Jeremy,10
39,0.402,0.345,0.253,-0.3182,"Yeah, a buddy, you can fuck.",1,Jeremy,6
40,0.0,0.686,0.314,0.6269,I mean we're both so relaxed about the whole sex thing.,1,Jeremy,11
41,0.0,1.0,0.0,0.0,Last time I was around there I watched a porno.,1,Jeremy,10
42,0.0,1.0,0.0,0.0,Four in the afternoon - just me and her watching a porno.,1,Jeremy,12
43,0.0,1.0,0.0,0.0,"I mean, that's me.",1,Jeremy,4
44,0.19,0.81,0.0,-0.2755,I'm not ready for the kind of thing you're after.,1,Jeremy,10
45,0.0,1.0,0.0,0.0,The whole... someone to go to Waitrose with.,1,Jeremy,8
46,0.196,0.804,0.0,-0.0572,I don't want to go to Waitrose.,1,Mark,7
47,0.603,0.172,0.224,-0.4939,I want a fuck buddy.,1,Mark,5
48,0.312,0.446,0.241,-0.2023,I wish I was her fuck buddy next door.,1,Jeremy,7
49,0.0,1.0,0.0,0.0,We could do it through the wall.,1,Jeremy,7
50,0.0,1.0,0.0,0.0,How thick is wall?,1,Jeremy,4
51,0.0,1.0,0.0,0.0,"So, which Starbucks does she go to?",1,Mark,7
52,0.0,1.0,0.0,0.0,"Come on, come on.",1,Mark,4
53,0.0,0.794,0.206,0.0772,I want to go to the shop.,1,Mark,7
54,0.0,1.0,0.0,0.0,"Need a poo, got to have loo paper.",1,Mark,8
55,0.0,1.0,0.0,0.0,I should be able to just walk out of my own front door.,1,Mark,13
56,0.508,0.492,0.0,-0.4767,What's wrong with me?,1,Mark,4
57,0.0,0.728,0.272,0.6249,Would be great if a car just ploughed into the lot of them.,1,Mark,13
58,0.0,0.625,0.375,0.2023,"Hi Toni, I'm fine.",1,Mark,4
59,0.17,0.83,0.0,-0.4767,"I was just checking the letterbox for... sometimes they get stuck in there and the next thing you know, your phone's cut off.",1,Mark,22
60,0.206,0.667,0.127,-0.3182,"God, you know they haven't got any Alpen at that stupid corner shop.",1,Toni,13
61,0.0,1.0,0.0,0.0,"I said ""Have you got any Alpen?""",1,Toni,7
62,0.0,1.0,0.0,0.0,"I said ""Well, are you going to be ordering any in?""",1,Toni,11
63,0.0,1.0,0.0,0.0,and he said he didn't know!,1,Toni,6
64,0.342,0.658,0.0,-0.3818,"Oh right, that is a bit crap.",1,Mark,7
65,0.0,1.0,0.0,0.0,What kind of a shop doesn't have Alpen?,1,Toni,8
66,0.0,0.694,0.306,0.296,"Yeah, I mean... you could, have some.",1,Mark,7
67,0.0,1.0,0.0,0.0,What are you doing?,1,Mark,4
68,0.0,1.0,0.0,0.0,What about the poo?,1,Mark,4
69,0.0,1.0,0.0,0.0,If I can just hold it in...,1,Mark,7
70,0.0,1.0,0.0,0.0,I think it's retreating.,1,Mark,4
71,0.0,1.0,0.0,0.0,"So, here we are then.",1,Mark,5
72,0.0,0.729,0.271,0.3818,It always makes me think of skiing holidays.,1,Toni,8
73,0.0,0.722,0.278,0.4019,We always used to go skiing on holiday.,1,Toni,8
74,0.0,1.0,0.0,0.0,"Me, my mum, my sister.",1,Toni,5
75,0.0,1.0,0.0,0.0,I've got a sister.,1,Mark,4
76,0.0,1.0,0.0,0.0,She's a lawyer actually.,1,Mark,4
77,0.0,1.0,0.0,0.0,What does your sister do?,1,Mark,5
78,0.0,1.0,0.0,0.0,That's what you get for trying to flirt.,1,Mark,8
79,0.61,0.39,0.0,-0.5709,"That's terrible, I'm so sorry.",1,Mark,5
80,0.0,0.631,0.369,0.5448,"I suppose, I mean at least it's not cancer.",1,Mark,9
81,0.595,0.405,0.0,-0.6597,It's a form of cancer.,1,Toni,5
82,0.727,0.273,0.0,-0.8402,My gran died of cancer.,1,Mark,5
83,0.0,0.649,0.351,0.4019,Although hopefully your sister won't... obviously.,1,Mark,6
84,0.0,1.0,0.0,0.0,"Listen, let's talk about something else.",1,Mark,6
85,0.0,0.545,0.455,0.3612,Do you like Blackadder?,1,Mark,4
86,0.0,1.0,0.0,0.0,I got the Blackadder set for Christmas.,1,Mark,7
87,0.0,1.0,0.0,0.0,"I never really, I mean…",1,Toni,5
88,0.656,0.104,0.24,-0.4588,"No, no, sure, forget it.",1,Mark,5
89,0.0,0.408,0.592,0.4404,I know something funny.,1,Mark,4
90,0.0,1.0,0.0,0.0,And he's been working on it for about a month!,1,Mark,10
91,0.0,0.543,0.457,0.6369,"Wait, this is the best bit.",1,Mark,6
92,0.0,1.0,0.0,0.0,"This Grammy goes out to my homeboys in Compton, the Japanese people who mean so much to me.",1,Jeremy,18
93,0.0,0.69,0.31,0.2023,"Hey, Mark's playing my track.",1,Jeremy,5
94,0.31,0.69,0.0,-0.5574,"Ah, he just can't get enough of that shit.",1,Jeremy,9
95,0.299,0.342,0.359,0.1779,Humiliate your best mate just to.,1,Mark,6
