,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.0,0.506,0.494,0.5994,I'm loving the bathroom showroom.,1,Super Hans,5
1,0.0,1.0,0.0,0.0,Got these new soft close toilet seats in.,1,Super Hans,8
2,0.0,0.762,0.238,0.3612,It's like they're winking at you in slow motion.,1,Super Hans,9
3,0.0,1.0,0.0,0.0,"Hans has sold out, a job and a suit, and now we're burning all our band stuff.",1,Jeremy,17
4,0.0,0.792,0.208,0.2732,Even the contract we signed with God on Mephedrone.,1,Jeremy,9
5,0.0,1.0,0.0,0.0,Are we really gonna do this?,1,Jeremy,6
6,0.0,0.645,0.355,0.296,"Yeah, this is it, man.",1,Super Hans,5
7,0.375,0.625,0.0,-0.5574,This is the day the music died.,1,Super Hans,7
8,0.0,1.0,0.0,0.0,This is the end of... what are we called?,1,Super Hans,9
9,0.0,0.698,0.302,0.0772,"Hello boys, excuse me.",1,Mark,4
10,0.0,1.0,0.0,0.0,It's a table for my printer.,1,Mark,6
11,0.0,1.0,0.0,0.0,You're not doing a barbecue again are you?,1,Mark,8
12,0.0,1.0,0.0,0.0,You know that doesn't work.,1,Mark,5
13,0.401,0.465,0.134,-0.6808,Could you please stop trying to kill me with flat packs?,1,Jeremy,11
14,0.0,1.0,0.0,0.0,I'm on my way.,1,Jeremy,4
15,0.0,0.526,0.474,0.4019,Clearly you haven't gone.,1,Mark,4
16,0.271,0.429,0.3,0.0516,"Well, you stopped paying rent.",1,Mark,5
17,0.37,0.63,0.0,-0.5719,"Or rather, you've stopped being guilty about not paying rent.",1,Mark,10
18,0.0,1.0,0.0,0.0,"There's always my place, Jez.",1,Super Hans,5
19,0.0,1.0,0.0,0.0,"I've got the bag, bag's yours.",1,Super Hans,6
20,0.0,1.0,0.0,0.0,"Not the bag, never Hans' bag.",1,Jeremy,6
21,0.0,1.0,0.0,0.0,"And Mark, just so you know, guys at the showroom are looking for more hands on deck.",1,Super Hans,17
22,0.0,0.805,0.195,0.4404,"Money's tasty, and you get to work with toilets which is obviously funny.",1,Super Hans,13
23,0.0,0.541,0.459,0.5267,"And showers, which are sexy.",1,Super Hans,5
24,0.0,0.645,0.355,0.296,"Yeah, I'll put a word in.",1,Super Hans,6
25,0.0,0.481,0.519,0.6597,"Thank, thanks for the job tip, Hans.",1,Mark,7
26,0.0,0.506,0.494,0.5994,"Christ, headhunted by Super Hans.",1,Mark,5
27,0.0,1.0,0.0,0.0,He might be one of the few Western head-hunters who would physically chop a head off.,1,Mark,16
28,0.0,1.0,0.0,0.0,Why didn't I get the job tip?,1,Jeremy,7
29,0.0,1.0,0.0,0.0,We could have been the Chemical Toilet Brothers.,1,Jeremy,8
30,0.0,0.48,0.52,0.7574,So great that Dobby's agreed to move in.,1,Mark,8
31,0.0,1.0,0.0,0.0,Just got to close the deal.,1,Mark,6
32,0.0,0.815,0.185,0.3612,"Get her into the flat, and get her locked down like Fritzl.",1,Mark,12
33,0.683,0.317,0.0,-0.5122,"No, not like Fritzl.",1,Mark,4
34,0.0,0.521,0.479,0.8481,"Like a nice, normal, loving guy who knows where she is at all times.",1,Mark,14
35,0.196,0.804,0.0,-0.296,Which at no point would be locked in the cellar.,1,Mark,10
36,0.0,0.633,0.367,0.4404,Good time at Gerrard's last night?,1,Mark,6
37,0.0,1.0,0.0,0.0,We had a game of Connect Four.,1,Dobby,7
38,0.0,0.588,0.412,0.2732,"God, he's so sickly.",1,Mark,4
39,0.225,0.775,0.0,-0.1877,She never plays Connect Four with me.,1,Mark,7
40,0.0,0.524,0.476,0.8432,"I'd love to play Connect Four with her, if it wasn't so boring.",1,Mark,13
41,0.452,0.548,0.0,-0.5096,He's not in a great way.,1,Dobby,6
42,0.437,0.563,0.0,-0.4767,Poor guy can barely move.,1,Dobby,5
43,0.0,0.77,0.23,0.3384,I bet some parts of him can move very well.,1,Mark,10
44,0.0,0.783,0.217,0.3612,"Looks like I've got a job interview lined up, bathroom supplies.",1,Mark,11
45,0.0,0.723,0.277,0.3182,"Incredibly flat management structure, which is cool.",1,Mark,7
46,0.287,0.093,0.62,0.5574,"Ah, lovely, fake enthusiasm.",1,Mark,4
47,0.0,1.0,0.0,0.0,"Hey Mark, can you open a tin of mushy peas?",1,Dobby,10
48,0.0,1.0,0.0,0.0,"Hold on, what's that, what's that there?",1,Mark,7
49,0.0,1.0,0.0,0.0,"Oh, a new tin-opener?",1,Mark,4
50,0.0,1.0,0.0,0.0,"I've got a tin-opener, why is she buying a new tin-opener?",1,Mark,11
51,0.412,0.588,0.0,-0.5423,"Fuck, she's not gonna move in.",1,Mark,6
52,0.306,0.694,0.0,-0.296,This is no pound shop-tin opener.,1,Mark,6
53,0.0,1.0,0.0,0.0,This is a luxury tin-opener!,1,Mark,5
54,0.0,0.884,0.116,0.4404,"She's gonna use this to open her single tins, and then somehow get the sexual satisfaction from it I so obviously can't give her.",1,Mark,24
55,0.0,1.0,0.0,0.0,"Oh, uh, Dobs, just because I need to do a form, when do you think you might be moving in?",1,Mark,20
56,0.341,0.465,0.193,-0.4417,"The rent here is killing me, so yeah.",1,Dobby,8
57,0.394,0.606,0.0,-0.7579,"When I can get the bloody deposit sorted, and get my shit together.",1,Dobby,13
58,0.0,0.556,0.444,0.6124,The getting together of the shit.,1,Mark,6
59,0.0,1.0,0.0,0.0,"Could take a night, could take five years.",1,Mark,8
60,0.474,0.526,0.0,-0.5574,"Shit, nuke this, will ya?",1,Dobby,5
61,0.0,1.0,0.0,0.0,The tin opener isn't conclusive.,1,Mark,5
62,0.0,0.759,0.241,0.2263,Could ask her straight how she feels.,1,Mark,7
63,0.412,0.588,0.0,-0.4215,What if I broke the microwave?,1,Mark,6
64,0.0,1.0,0.0,0.0,"Test case, if she buys a new one, then I'll know she's never moving in.",1,Mark,15
65,0.0,0.633,0.367,0.4404,Maybe a good old waggle in there.,1,Mark,7
66,0.0,0.843,0.157,0.0772,"You weren't built for the screwdriver, were you?",1,Mark,8
67,0.232,0.768,0.0,-0.2755,"You don't like that in there, do you?",1,Mark,8
68,0.355,0.645,0.0,-0.296,No macaroni for us tonight.,1,Mark,5
69,0.201,0.625,0.174,-0.1027,"Oh, Dobs, it looks like your bloody microwave's bust or something.",1,Mark,11
70,0.0,1.0,0.0,0.0,"Still, I've got one at mine, so...",1,Mark,7
71,0.0,1.0,0.0,0.0,"Oh, but I only do robot cooking, I can't do analogue.",1,Dobby,11
72,0.189,0.811,0.0,-0.1027,"Screw it, I'll grab something at Gerrard's.",1,Dobby,7
73,0.267,0.603,0.129,-0.3818,"That was him just now, he's feeling a lot worse.",1,Dobby,10
74,0.0,0.777,0.223,0.3182,"I said I'd go over for a bit, is that cool?",1,Dobby,11
75,0.0,1.0,0.0,0.0,"Aiming for a bit more ""Connect Foreplay"".",1,Mark,7
76,0.289,0.474,0.237,-0.0258,"Well, I'm gonna block your bright red cock with my multiple discs of yellow cock.",1,Mark,15
77,0.0,0.633,0.367,0.4404,"Hi Dobs, thanks for coming over.",1,Gerrard,6
78,0.0,0.791,0.209,0.2144,"Yes, Gerrard, but there's a sting in the tail.",1,Mark,9
79,0.0,0.759,0.241,0.5411,"A scorpion in the Kinder egg, a nail in the Toblerone, and, 'tis I!",1,Mark,14
80,0.0,0.759,0.241,0.6597,"Yes, we were about to have a romantic Italian dinner for two when you rang, so I thought I'd come along.",1,Mark,21
81,0.0,1.0,0.0,0.0,How're you doing you big fuckstick?,1,Dobby,6
82,0.6,0.4,0.0,-0.4588,"Oh, I feel awful.",1,Gerrard,4
83,0.203,0.673,0.123,-0.1803,"Oh, that's not the spirit, mind over matter!",1,Mark,8
84,0.275,0.473,0.252,-0.075,Your friend the Cyberman wouldn't be so defeatist.,1,Mark,8
85,0.0,1.0,0.0,0.0,Nor would any of your other brilliant... dolls.,1,Mark,8
86,0.0,1.0,0.0,0.0,I'll get you a pie on.,1,Dobby,6
87,0.0,0.698,0.302,0.0772,Which do you want?,1,Dobby,4
88,0.0,0.541,0.459,0.1027,"Grey matter pie, or brown matter pie?",1,Dobby,7
89,0.0,0.259,0.741,0.765,"Grey matter would be lovely, thank you.",1,Gerrard,7
90,0.0,1.0,0.0,0.0,"I know what you're doing, Gerrard.",1,Mark,6
91,0.0,1.0,0.0,0.0,I've got my beady eye on you.,1,Mark,7
92,0.383,0.617,0.0,-0.4767,You're barking up the wrong tree.,1,Gerrard,6
93,0.441,0.559,0.0,-0.5773,"She's not interested in romancing the stone, Gerrard.",1,Mark,8
94,0.216,0.784,0.0,-0.296,It's no dice for you and your sickly ways.,1,Mark,9
95,0.0,1.0,0.0,0.0,We'll see about that.,1,Gerrard,4
96,0.0,0.69,0.31,0.2023,I'm playing the long game.,1,Gerrard,5
97,0.0,1.0,0.0,0.0,"Where's your inhaler, G man?",1,Dobby,5
98,0.0,1.0,0.0,0.0,Maybe in the spare room?,1,Gerrard,5
99,0.0,1.0,0.0,0.0,Ken took the last of his stuff.,1,Gerrard,7
100,0.202,0.505,0.293,0.2263,It feels funny to be all alone.,1,Gerrard,7
101,0.0,0.68,0.32,0.765,"To be honest, if I could just find a pal, I'd ask then to move in rent free.",1,Gerrard,18
102,0.0,0.414,0.586,0.8179,"Don't worry, Mark, I'll take good care of her.",1,Gerrard,9
103,0.0,0.294,0.706,0.8027,"Very, very good care indeed.",1,Gerrard,5
104,0.0,1.0,0.0,0.0,I can't compete with that!,1,Mark,5
105,0.0,0.752,0.248,0.5106,A free room at Gerrard's versus fifty quid a week for Fritzl's cellar.,1,Mark,13
106,0.0,0.775,0.225,0.4939,"Time to say goodbye to daddy, and hand you over to mummy.",1,Mark,12
107,0.0,0.522,0.478,0.6705,"Hmm, pretty sure he's parked a turd in there.",1,Mark,9
108,0.0,1.0,0.0,0.0,Sophie can change that in the lift.,1,Mark,7
109,0.0,1.0,0.0,0.0,I'm here for Ian.,1,Jeff,4
110,0.0,1.0,0.0,0.0,Didn't Soph tell ya?,1,Jeff,4
111,0.0,0.761,0.239,0.296,"Yeah, I moved into Nanna's cottage last month, so...",1,Jeff,9
112,0.194,0.366,0.44,0.6908,Give the thing I love best to the man I hate most?,1,Mark,12
113,0.0,1.0,0.0,0.0,"Bye bye, bye bye.",1,Jeff,4
114,0.0,1.0,0.0,0.0,"See you later, Mark, bye bye.",1,Jeff,6
115,0.0,1.0,0.0,0.0,"Don't think so, mate.",1,Mark,4
116,0.0,1.0,0.0,0.0,Maybe Ian won't remember I gave him away to another man.,1,Mark,11
117,0.0,1.0,0.0,0.0,"If he does, he'll be some kind of memory genius.",1,Mark,10
118,0.093,0.907,0.0,-0.2382,"""Yeah, my son hates me, but he can remember a full deck of cards, and that's why he lives in Vegas.""",1,Mark,21
119,0.199,0.592,0.209,-0.1943,I think it's OK. Or do you think there's any chance he's trying to kill all my offspring?,1,Mark,18
120,0.0,1.0,0.0,0.0,"That's a lot of shopping, Jez.",1,Mark,6
121,0.188,0.699,0.113,-0.34,"It's just, Dobby might well have moved in before we eat all these horrible lentils.",1,Mark,15
122,0.0,0.764,0.236,0.4019,"Yeah, I've just got the feeling maybe I'm gonna get to finish these lentils.",1,Jeremy,14
123,0.0,1.0,0.0,0.0,"She is moving in, you know?",1,Mark,6
124,0.0,1.0,0.0,0.0,I'm getting a firm date.,1,Mark,5
125,0.0,1.0,0.0,0.0,Why have you got cat food?,1,Mark,6
126,0.137,0.726,0.137,0.0,"That's why I got the denture cleaner, to throw them a weird one.",1,Jeremy,13
127,0.0,1.0,0.0,0.0,"""Who are these guys?""",1,Jeremy,4
128,0.078,0.811,0.111,0.296,"Great, so now they'll think we're a couple of guys with our booze, and our pizzas, and a cat we starve, and an old man we've kidnapped whose dentures we periodically deign to cleanse.",1,Mark,34
129,0.0,1.0,0.0,0.0,"Margherita or pepperoni, Dobs?",1,Mark,4
130,0.0,0.589,0.411,0.4199,"Ooh, it's like Sophie's Choice!",1,Dobby,5
131,0.0,1.0,0.0,0.0,If Meryl Streep had given birth to a pair of Chicago Town pizzas.,1,Dobby,13
132,0.0,1.0,0.0,0.0,"Oh, Jez, Mark told me about you burning the band.",1,Dobby,10
133,0.361,0.412,0.227,-0.3182,"Yeah, I'm too big to fail.",1,Jeremy,6
134,0.0,1.0,0.0,0.0,He doesn't know what that means.,1,Mark,6
