,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.0,1.0,0.0,0.0," Jeremy, what are you doing?",1,Mark,5
1,0.0,1.0,0.0,0.0,I'm watching her rummage.,1,Jeremy,4
2,0.0,0.656,0.344,0.2732,"God, do you know what?",1,Jeremy,5
3,0.0,0.323,0.677,0.6369,I think I love her.,1,Jeremy,5
4,0.0,0.543,0.457,0.6369,What do you love about her?,1,Mark,6
5,0.264,0.596,0.139,-0.4388,"Oh, God, why does the world have to be so wrong?",1,Jeremy,11
6,0.529,0.471,0.0,-0.5216,You don't love her.,1,Mark,4
7,0.333,0.667,0.0,-0.4588,You're just jealous 'cause her husband's back.,1,Mark,7
8,0.0,0.77,0.23,0.5965," There's only so much happiness in the world, Mark, and they're hoarding it all.",1,Jeremy,14
9,0.422,0.578,0.0,-0.4449, That's not how happiness works.,1,Mark,5
10,0.0,0.375,0.625,0.875," Yeah, what would you know about love or happiness?",1,Jeremy,9
11,0.0,0.391,0.609,0.8316,What do I know about love and happiness?,1,Mark,8
12,0.215,0.37,0.415,0.4019,"I know you have to play dirty, my friend.",1,Mark,9
13,0.0,1.0,0.0,0.0,Just can't seem to crack it.,1,Mark,6
14,0.0,0.575,0.425,0.5719,Can't believe Personnel issued happy hats.,1,Mark,6
15,0.0,1.0,0.0,0.0,Johnson's our new boss.,1,Mark,4
16,0.0,0.575,0.425,0.5719,Course we're going to be happy.,1,Mark,6
17,0.0,0.414,0.586,0.836, I'd like to thank everyone for such a warm welcome to JLB...,1,Johnson,12
18,0.216,0.784,0.0,-0.296,Maybe I should stop trying to break into her e-mail.,1,Mark,10
19,0.0,0.682,0.318,0.4215,Just have a nice big talk to Sophie.,1,Mark,8
20,0.0,1.0,0.0,0.0,Really get down to it.,1,Mark,5
21,0.064,0.851,0.085,0.1615, ...what this department needs a kick up the arse so hard my foot'll go right up your digestive tract and wiggle out your mouth like a little leather tongue.,1,Johnson,29
22,0.223,0.637,0.14,-0.3182,"Yeah, fuck carrot and stick, he's making the stick out of carrot.",1,Mark,12
23,0.0,0.524,0.476,0.875,"Careful, there's man love and there's business love and never the twain shall meet.",1,Mark,14
24,0.0,0.506,0.494,0.4466,"OK, Sophie, here goes.",1,Mark,4
25,0.167,0.833,0.0,-0.296,"No running away, just stay here and let it all flood out.",1,Mark,12
26,0.0,0.763,0.237,0.4215,"Sophie, I was wondering- I was hoping that we could have a chat.",1,Mark,13
27,0.0,1.0,0.0,0.0,"So... tell me, what was the name of your first childhood pet?",1,Mark,12
28,0.0,0.308,0.692,0.6696, I love this song!,1,Sophie,4
29,0.0,1.0,0.0,0.0," Oh, Jeremy and I were having a bet.",1,Mark,8
30,0.0,1.0,0.0,0.0,"Only wine gums, but it makes the evenings go a bit quicker.",1,Mark,12
31,0.0,0.762,0.238,0.144,"So, do you want to dance?",1,Sophie,6
32,0.0,1.0,0.0,0.0," I can't, really, it's not…",1,Mark,5
33,0.09,0.811,0.099,0.0538,"Yeah, you won't be so cocky, Jeff, when I come into the office with a Kalashnikov and two hundred rounds of ammunition.",1,Mark,22
34,0.0,0.848,0.152,0.3612,I'm probably exactly the sort of person who could end up doing something like that.,1,Mark,15
35,0.0,1.0,0.0,0.0,"All right, what's her favourite TV show?",1,Mark,7
36,0.0,1.0,0.0,0.0,Sex and the City.,1,Mark,4
37,0.0,1.0,0.0,0.0,Maybe she thinks it's Sex In the City.,1,Mark,8
38,0.0,1.0,0.0,0.0,"Bollocks to emoting, I've got my hands on her innards!",1,Mark,10
39,0.0,1.0,0.0,0.0,"Hello... ""Mark vs Jeff"", this I have to see.",1,Mark,9
40,0.136,0.734,0.13,0.2263,"Blah, blah, ""Jeff's a laugh, but he can be a bit of an arsehole, but I do fancy him.",1,Mark,19
41,0.191,0.452,0.357,0.2115,"Mark's clever and funny, but he's so serious.",1,Mark,8
42,0.0,0.856,0.144,0.2144,"I wish we could just be mates for a while but he's so uptight.""",1,Mark,14
43,0.0,1.0,0.0,0.0,"So, you wanted to have a big chat and everything?",1,Sophie,10
44,0.303,0.615,0.082,-0.6494," Yeah, we could do, but then why be so serious and uptight all the time?",1,Mark,15
45,0.0,0.579,0.421,0.6249,"We're mates, we should relax, do matey things, yeah?",1,Mark,9
46,0.0,1.0,0.0,0.0,A movie on a wet Saturday.,1,Mark,6
47,0.0,1.0,0.0,0.0,"That's what mates do, right?",1,Mark,5
48,0.0,1.0,0.0,0.0,Or what about a dance class?,1,Sophie,6
49,0.0,1.0,0.0,0.0,If you think you can face it you can come to my dance class!,1,Sophie,14
50,0.0,0.225,0.775,0.7845,"Yes, dancing, I love dancing.",1,Mark,5
51,0.113,0.753,0.134,0.1027,Because it makes me look like a coma victim being stood up and zapped with a cattle prod.,1,Mark,18
52,0.0,0.667,0.333,0.3612,"Jeremy, would you like some biscotti?",1,Toni,6
53,0.0,1.0,0.0,0.0," So, have you heard?",1,Toni,4
54,0.0,1.0,0.0,0.0,Brand New Heavies are releasing a new album.,1,Toni,8
55,0.0,0.323,0.677,0.6369," Toni, I love you.",1,Jeremy,4
56,0.0,0.595,0.405,0.6976,"I can't hold it in, I absolutely fucking love you.",1,Jeremy,10
57,0.0,1.0,0.0,0.0," Jeremy, what are you... really?",1,Toni,5
58,0.0,1.0,0.0,0.0, I was just telling Jeremy about the Brand New Heavies new album.,1,Toni,12
59,0.0,1.0,0.0,0.0,"That's something to look forward to, isn't it?",1,Tony,8
60,0.0,0.737,0.263,0.3612," I'd like a ginger nut, if there are any.",1,Jeremy,9
61,0.0,0.645,0.355,0.296," Yeah, I think there are some.",1,Tony,6
62,0.0,0.192,0.808,0.9719," I love you, I love you, I love you, I love you, I love you.",1,Jeremy,15
63,0.0,0.448,0.552,0.5719," Tony, Jeremy loves me.",1,Toni,4
64,0.423,0.577,0.0,-0.296," Um, no, I didn't actually…",1,Jeremy,5
65,0.0,1.0,0.0,0.0, Of course you do.,1,Tony,4
66,0.333,0.667,0.0,-0.4588,"You're a moth, sucked in by the light.",1,Tony,8
67,0.0,0.804,0.196,0.5994,"I've been banging my head for fifteen years against that beautiful light bulb, and I wouldn't change a day.",1,Tony,19
68,0.257,0.221,0.522,0.5574," She's the beautiful poison, my friend.",1,Tony,6
69,0.329,0.395,0.276,-0.1027,"God, this is such a mess.",1,Jeremy,6
70,0.0,0.625,0.375,0.6369," This is the best thing for you, mate.",1,Mark,8
71,0.0,1.0,0.0,0.0,Take your mind off it.,1,Mark,5
72,0.0,1.0,0.0,0.0, Maybe I should send her a bit of ear.,1,Jeremy,9
73,0.242,0.758,0.0,-0.1513,Just to show I'm really serious.,1,Jeremy,6
74,0.0,0.86,0.14,0.0772,There's a changing room round there if you want to…,1,Sophie,10
75,0.0,1.0,0.0,0.0," Um, I thought these would be... this is salsa, isn't it?",1,Mark,11
76,0.355,0.645,0.0,-0.296,"Oh, no, salsa's on Tuesdays.",1,Sophie,5
77,0.239,0.761,0.0,-0.296,"No this is Rainbow Rhythms, it's quite full-on.",1,Sophie,8
78,0.0,1.0,0.0,0.0,"Mark, are you all right with that?",1,Sophie,7
79,0.0,1.0,0.0,0.0,I've walked into my own personal nightmare.,1,Mark,7
