,neg,neu,pos,compound,sentence,episode,speaker,length
0,0.0,1.0,0.0,0.0,Shall I go on?,1,Jeremy,4
1,0.507,0.149,0.343,-0.4939,"God, it's like a Stasi torture block.",1,Mark,7
2,0.121,0.879,0.0,-0.0258,The foetal head then passes below the pubic arch.,1,Jeremy,9
3,0.0,1.0,0.0,0.0,"At this point, the woman may feel a burning or stinging sensation.",1,Jeremy,12
4,0.492,0.508,0.0,-0.7003,"The phrase, ""no shit Sherlock"" comes to mind.",1,Mark,8
5,0.0,0.793,0.207,0.144,"Um, how much more do you want?",1,Jeremy,7
6,0.0,1.0,0.0,0.0,You don't wanna know mate.,1,Mark,5
7,0.0,0.826,0.174,0.2732,"Well, you know, between your bum and your genitals, that area?",1,Mark,11
8,0.0,1.0,0.0,0.0,It's one of my favourite areas.,1,Jeremy,6
9,0.0,0.583,0.417,0.5106,"Yeah, well, imagine someone snipping it with scissors.",1,Mark,8
10,0.0,1.0,0.0,0.0,Oh my fucking life!,1,Jeremy,4
11,0.0,0.719,0.281,0.5719,"Yeah, either that or you can have it pull apart like wet tissue paper.",1,Mark,14
12,0.0,0.548,0.452,0.5095,So glad I'm not a woman.,1,Jeremy,6
13,0.444,0.556,0.0,-0.8402,Worst thing that can happen to me is getting sent to war.,1,Jeremy,12
14,0.0,1.0,0.0,0.0,"Even then, I can find a cave and eat blackberries and tug myself off till it's over.",1,Jeremy,17
15,0.0,1.0,0.0,0.0,"They're on their way, but it could be five or six hours.",1,Mark,12
16,0.419,0.581,0.0,-0.5574,"Shit, I can't be the birth partner.",1,Mark,7
17,0.0,1.0,0.0,0.0,"Hold on, I see where this is going.",1,Jeremy,8
18,0.0,0.614,0.386,0.2235,I ain't no birth partner.,1,Jeremy,5
19,0.0,0.614,0.386,0.6588,"Dude, you are gonna be a great birth partner!",1,Jeremy,9
20,0.077,0.551,0.372,0.7529,"The truth is, and I really wish it wasn't true, but I'm a... a paedophobe, to be honest.",1,Mark,18
21,0.0,1.0,0.0,0.0,I suppose I always wondered whether-,1,Jeremy,6
22,0.175,0.825,0.0,-0.1779,"I've always felt really... weird around children, you know?",1,Mark,9
23,0.0,0.732,0.268,0.296,Act supportive or punch his lights out?,1,Jeremy,7
24,0.0,0.69,0.31,0.4019,And are you gonna get help for-,1,Jeremy,7
25,0.267,0.619,0.115,-0.4927,"I don't know, I mean what sort of help can you get for an irrational fear of children?",1,Mark,18
26,0.0,1.0,0.0,0.0,What did you think I meant?,1,Mark,6
27,0.0,0.556,0.444,0.3382,"Oh, my God, Jeremy!",1,Mark,4
28,0.0,1.0,0.0,0.0,"It's just paedo, phobe.",1,Jeremy,4
29,0.538,0.462,0.0,-0.5423,"I mean, they're both bad.",1,Jeremy,5
30,0.0,1.0,0.0,0.0,I thought you were saying you were a mega-paedo.,1,Jeremy,9
31,0.0,1.0,0.0,0.0,You thought I was saying I was a mega-paedo?,1,Mark,9
32,0.0,1.0,0.0,0.0,"And your reaction was that ""you'd always wondered""?",1,Mark,8
33,0.0,1.0,0.0,0.0,"I was grappling, I was grasping.",1,Jeremy,6
34,0.156,0.844,0.0,-0.34,"I'm just going back in, I was only looking at the crisps and I got distracted.",1,Mark,16
35,0.0,0.625,0.375,0.4588,"I've been three minutes max, honestly.",1,Mark,6
36,0.0,1.0,0.0,0.0,You are allowed out.,1,Yana,4
37,0.0,0.522,0.478,0.6705,"You're nice, I wish I was having a baby with you.",1,Mark,11
38,0.0,0.866,0.134,0.4466,"We'll be in to see Sophie shortly and if things haven't progressed, we can always give her a cervical sweep, OK?",1,Yana,21
39,0.0,1.0,0.0,0.0,"So listen, I've spoken to your mum and she's on her way.",1,Mark,12
40,0.0,1.0,0.0,0.0,"But hold your horses just one sec, because they are actually on their way from Northumberland, so until she gets here, I am very much your man.",1,Mark,27
41,0.0,1.0,0.0,0.0,What do I say?,1,Mark,4
42,0.0,1.0,0.0,0.0,"Can't sit back and watch, eating popcorn.",1,Mark,7
43,0.619,0.381,0.0,-0.7579,"Ow, poor Soph, does it hurt?",1,Mark,6
44,0.439,0.239,0.322,-0.2465,"Yes, it fucking hurts!",1,Sophie,4
45,0.0,1.0,0.0,0.0,Might be your mum.,1,Mark,4
46,0.35,0.4,0.25,0.0,"But, it's just, no, sorry, thank you.",1,Mark,7
